2025-07-17 01:16:25 status unpacked usr-is-merged:all 37~deb12u1
2025-07-17 01:16:26 status half-configured usr-is-merged:all 37~deb12u1
2025-07-17 01:16:26 status installed usr-is-merged:all 37~deb12u1
2025-07-17 01:16:26 configure libaudit-common:all 1:3.0.9-1 <none>
2025-07-17 01:16:26 status unpacked libaudit-common:all 1:3.0.9-1
2025-07-17 01:16:26 status half-configured libaudit-common:all 1:3.0.9-1
2025-07-17 01:16:26 status installed libaudit-common:all 1:3.0.9-1
2025-07-17 01:16:26 configure libsemanage-common:all 3.4-1 <none>
2025-07-17 01:16:26 status unpacked libsemanage-common:all 3.4-1
2025-07-17 01:16:26 status half-configured libsemanage-common:all 3.4-1
2025-07-17 01:16:26 status installed libsemanage-common:all 3.4-1
2025-07-17 01:16:26 configure debconf:all 1.5.82 <none>
2025-07-17 01:16:26 status unpacked debconf:all 1.5.82
2025-07-17 01:16:26 status half-configured debconf:all 1.5.82
2025-07-17 01:16:26 status installed debconf:all 1.5.82
2025-07-17 01:16:26 configure gcc-12-base:amd64 12.2.0-14+deb12u1 <none>
2025-07-17 01:16:26 status unpacked gcc-12-base:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:26 status half-configured gcc-12-base:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:26 status installed gcc-12-base:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:26 configure tzdata:all 2025b-0+deb12u1 <none>
2025-07-17 01:16:26 status unpacked tzdata:all 2025b-0+deb12u1
2025-07-17 01:16:26 status half-configured tzdata:all 2025b-0+deb12u1
2025-07-17 01:16:26 status installed tzdata:all 2025b-0+deb12u1
2025-07-17 01:16:26 configure ncurses-base:all 6.4-4 <none>
2025-07-17 01:16:26 status unpacked ncurses-base:all 6.4-4
2025-07-17 01:16:26 status half-configured ncurses-base:all 6.4-4
2025-07-17 01:16:26 status installed ncurses-base:all 6.4-4
2025-07-17 01:16:26 configure init-system-helpers:all 1.65.2 <none>
2025-07-17 01:16:26 status unpacked init-system-helpers:all 1.65.2
2025-07-17 01:16:26 status half-configured init-system-helpers:all 1.65.2
2025-07-17 01:16:26 status installed init-system-helpers:all 1.65.2
2025-07-17 01:16:26 configure libgcc-s1:amd64 12.2.0-14+deb12u1 <none>
2025-07-17 01:16:26 status unpacked libgcc-s1:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:26 status half-configured libgcc-s1:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:26 status installed libgcc-s1:amd64 12.2.0-14+deb12u1
2025-07-17 01:16:26 configure libc6:amd64 2.36-9+deb12u10 <none>
2025-07-17 01:16:26 status unpacked libc6:amd64 2.36-9+deb12u10
